"","Natureza","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total","delegacia_id"
"2056","LESÃO CORPORAL DOLOSA",10,9,19,16,17,15,10,8,14,22,16,8,164,901
"2057","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",12,5,9,14,14,18,3,16,16,10,15,10,142,901
"2058","LESÃO CORPORAL CULPOSA - OUTRAS",0,1,0,0,0,0,0,0,0,0,0,0,1,901
"2059","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,901
"2060","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,901
"2061","TOTAL DE ESTUPRO (4)",1,0,0,0,1,0,0,2,1,2,2,0,9,901
"2062","ESTUPRO",1,0,0,0,0,0,0,0,0,1,0,0,2,901
"2063","ESTUPRO DE VULNERÁVEL",0,0,0,0,1,0,0,2,1,1,2,0,7,901
"2064","TOTAL DE ROUBO - OUTROS (1)",86,64,107,103,92,64,72,77,92,103,79,63,1.002,901
"2065","ROUBO - OUTROS",86,63,104,102,91,64,71,77,92,99,78,62,989,901
"2066","ROUBO DE VEÍCULO",20,18,27,19,17,31,15,22,17,15,22,27,250,901
"2067","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,901
"2068","ROUBO DE CARGA",0,1,3,1,1,0,1,0,0,4,1,1,13,901
"2069","FURTO - OUTROS",167,116,159,158,195,139,119,189,142,117,157,144,1.802,901
"2070","FURTO DE VEÍCULO",54,29,22,33,34,28,37,42,36,24,20,31,390,901
"2071","HOMICÍDIO DOLOSO (2)",1,3,3,1,0,1,2,2,1,2,4,2,22,1270
"2072","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",1,3,3,1,0,1,2,2,1,2,5,2,23,1270
"2073","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1270
"2074","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1270
"2075","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",1,0,0,2,0,1,1,0,1,1,1,1,9,1270
"2076","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1270
"2077","TENTATIVA DE HOMICÍDIO",2,1,1,2,2,1,1,2,1,2,0,1,16,1270
"2078","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1270
"2079","LESÃO CORPORAL DOLOSA",51,46,50,45,50,45,31,32,32,35,40,50,507,1270
"2080","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",36,7,11,7,11,4,9,8,4,9,7,6,119,1270
"2081","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,1,0,0,0,1,0,0,0,0,1,3,1270
"2082","LATROCÍNIO",0,0,0,1,0,0,1,0,0,0,0,0,2,1270
"2083","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,1,0,0,1,0,0,0,0,0,2,1270
"2084","TOTAL DE ESTUPRO (4)",1,4,3,3,8,0,3,6,4,5,8,4,49,1270
"2085","ESTUPRO",0,1,0,1,4,0,0,1,2,1,4,1,15,1270
"2086","ESTUPRO DE VULNERÁVEL",1,3,3,2,4,0,3,5,2,4,4,3,34,1270
"2087","TOTAL DE ROUBO - OUTROS (1)",263,281,239,230,217,220,228,259,222,302,276,240,2.977,1270
"2088","ROUBO - OUTROS",256,273,234,223,212,211,218,250,213,285,267,231,2.873,1270
"2089","ROUBO DE VEÍCULO",21,29,36,33,45,29,14,28,27,33,42,49,386,1270
"2090","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1270
"2091","ROUBO DE CARGA",7,8,5,7,5,9,10,9,9,17,9,9,104,1270
"2092","FURTO - OUTROS",99,105,83,93,110,89,98,107,96,151,150,108,1.289,1270
"2093","FURTO DE VEÍCULO",17,11,13,17,23,13,18,19,10,17,13,12,183,1270
"2094","HOMICÍDIO DOLOSO (2)",3,1,2,1,1,0,1,1,0,0,1,4,15,1269
"2095","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",3,1,2,1,1,0,1,1,0,0,1,4,15,1269
"2096","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1269
"2097","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1269
"2098","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",1,1,0,2,1,0,0,1,0,0,1,1,8,1269
"2099","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1269
"2100","TENTATIVA DE HOMICÍDIO",2,2,4,3,2,0,2,3,1,3,0,5,27,1269
"2101","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1269
"2102","LESÃO CORPORAL DOLOSA",48,59,57,44,42,32,43,45,45,49,49,41,554,1269
"2103","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",18,23,22,23,22,19,22,4,12,10,14,16,205,1269
"2104","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,1,0,0,0,7,11,4,0,0,2,25,1269
"2105","LATROCÍNIO",0,0,0,0,0,0,2,1,0,0,1,0,4,1269
"2106","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,2,1,0,0,1,0,4,1269
"2107","TOTAL DE ESTUPRO (4)",2,7,3,4,6,4,3,4,7,8,6,2,56,1269
"2108","ESTUPRO",1,1,0,0,0,3,0,1,1,5,3,0,15,1269
"2109","ESTUPRO DE VULNERÁVEL",1,6,3,4,6,1,3,3,6,3,3,2,41,1269
"2110","TOTAL DE ROUBO - OUTROS (1)",222,239,208,268,213,238,196,211,174,187,194,200,2.55,1269
"2111","ROUBO - OUTROS",217,234,200,261,208,224,183,196,165,171,173,186,2.418,1269
"2112","ROUBO DE VEÍCULO",40,36,33,25,23,24,17,29,14,16,21,30,308,1269
"2113","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1269
"2114","ROUBO DE CARGA",5,5,8,7,5,14,13,15,9,16,21,14,132,1269
"2115","FURTO - OUTROS",136,171,158,136,188,156,187,126,98,155,126,95,1.732,1269
"2116","FURTO DE VEÍCULO",29,25,27,25,21,21,36,27,36,28,38,37,350,1269
"2117","HOMICÍDIO DOLOSO (2)",0,0,1,0,1,0,0,0,0,1,0,0,3,1268
"2118","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,1,0,1,0,0,0,0,1,0,0,3,1268
"2119","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1268
"2120","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1268
"2121","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,1,1,0,0,0,0,2,1268
"2122","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1268
"2123","TENTATIVA DE HOMICÍDIO",0,1,1,0,0,0,1,0,0,1,0,0,4,1268
"2124","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1268
"2125","LESÃO CORPORAL DOLOSA",14,7,6,6,10,9,13,11,12,6,6,6,106,1268
"2126","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",6,6,8,9,12,9,9,13,9,8,13,13,115,1268
"2127","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,0,0,0,0,0,0,0,0,1268
"2128","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1268
"2129","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1268
"2130","TOTAL DE ESTUPRO (4)",0,0,0,0,1,1,1,1,0,1,1,1,7,1268
"2131","ESTUPRO",0,0,0,0,0,0,0,1,0,1,1,1,4,1268
"2132","ESTUPRO DE VULNERÁVEL",0,0,0,0,1,1,1,0,0,0,0,0,3,1268
"2133","TOTAL DE ROUBO - OUTROS (1)",33,54,45,51,65,67,59,63,61,67,51,52,668,1268
"2134","ROUBO - OUTROS",33,53,44,50,65,67,59,63,61,66,50,50,661,1268
"2135","ROUBO DE VEÍCULO",6,8,13,9,8,12,7,4,6,4,17,16,110,1268
"2136","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1268
"2137","ROUBO DE CARGA",0,1,1,1,0,0,0,0,0,1,1,2,7,1268
"2138","FURTO - OUTROS",65,53,66,56,87,62,87,94,98,68,67,88,891,1268
"2139","FURTO DE VEÍCULO",10,10,8,6,8,5,14,16,15,16,7,13,128,1268
"2140","HOMICÍDIO DOLOSO (2)",0,0,0,1,1,0,0,0,0,0,0,2,4,1267
"2141","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,1,1,0,0,0,0,0,0,2,4,1267
"2142","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1267
"2143","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1267
"2144","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",1,0,0,0,0,0,0,0,0,0,0,0,1,1267
"2145","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1267
"2146","TENTATIVA DE HOMICÍDIO",2,0,0,2,0,2,0,2,1,0,0,0,9,1267
"2147","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,1,0,0,0,0,0,0,0,0,1,1267
"2148","LESÃO CORPORAL DOLOSA",16,23,19,21,25,31,18,22,20,30,30,31,286,1267
"2149","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",6,6,11,9,10,11,10,6,12,5,11,8,105,1267
"2150","LESÃO CORPORAL CULPOSA - OUTRAS",1,0,3,0,1,1,0,0,0,2,0,1,9,1267
"2151","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1267
"2152","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1267
"2153","TOTAL DE ESTUPRO (4)",0,3,3,2,3,1,3,4,3,4,4,4,34,1267
"2154","ESTUPRO",0,1,0,0,0,0,0,0,1,0,0,0,2,1267
"2155","ESTUPRO DE VULNERÁVEL",0,2,3,2,3,1,3,4,2,4,4,4,32,1267
"2156","TOTAL DE ROUBO - OUTROS (1)",83,84,80,89,88,91,72,104,81,99,87,95,1.053,1267
"2157","ROUBO - OUTROS",82,83,79,86,87,88,72,104,78,98,86,90,1.033,1267
"2158","ROUBO DE VEÍCULO",13,16,14,15,14,18,21,25,31,35,43,37,282,1267
"2159","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1267
"2160","ROUBO DE CARGA",1,1,1,3,1,3,0,0,3,1,1,5,20,1267
"2161","FURTO - OUTROS",64,65,74,83,83,59,85,80,73,70,59,52,847,1267
"2162","FURTO DE VEÍCULO",26,18,30,20,22,14,29,20,24,26,28,16,273,1267
"2163","HOMICÍDIO DOLOSO (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2164","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2165","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2166","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2167","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2168","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2169","TENTATIVA DE HOMICÍDIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2170","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2171","LESÃO CORPORAL DOLOSA",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2172","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2173","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2174","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2175","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2176","TOTAL DE ESTUPRO (4)",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2177","ESTUPRO",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2178","ESTUPRO DE VULNERÁVEL",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2179","TOTAL DE ROUBO - OUTROS (1)",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2180","ROUBO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2181","ROUBO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2182","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2183","ROUBO DE CARGA",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2184","FURTO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2185","FURTO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,1251
"2186","HOMICÍDIO DOLOSO (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2187","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2188","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2189","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2190","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2191","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2192","TENTATIVA DE HOMICÍDIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2193","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2194","LESÃO CORPORAL DOLOSA",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2195","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2196","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2197","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2198","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2199","TOTAL DE ESTUPRO (4)",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2200","ESTUPRO",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2201","ESTUPRO DE VULNERÁVEL",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2202","TOTAL DE ROUBO - OUTROS (1)",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2203","ROUBO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2204","ROUBO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2205","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2206","ROUBO DE CARGA",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2207","FURTO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2208","FURTO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,1144
"2209","HOMICÍDIO DOLOSO (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2210","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2211","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2212","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2213","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2214","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2215","TENTATIVA DE HOMICÍDIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2216","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2217","LESÃO CORPORAL DOLOSA",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2218","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2219","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2220","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2221","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2222","TOTAL DE ESTUPRO (4)",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2223","ESTUPRO",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2224","ESTUPRO DE VULNERÁVEL",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2225","TOTAL DE ROUBO - OUTROS (1)",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2226","ROUBO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2227","ROUBO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2228","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2229","ROUBO DE CARGA",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2230","FURTO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2231","FURTO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,1068
"2232","HOMICÍDIO DOLOSO (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2233","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2234","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2235","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2236","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2237","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2238","TENTATIVA DE HOMICÍDIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2239","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2240","LESÃO CORPORAL DOLOSA",0,54,0,66,68,33,52,31,37,26,45,27,439,1017
"2241","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2242","LESÃO CORPORAL CULPOSA - OUTRAS",0,1,0,1,0,0,0,0,0,0,0,0,2,1017
"2243","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2244","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2245","TOTAL DE ESTUPRO (4)",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2246","ESTUPRO",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2247","ESTUPRO DE VULNERÁVEL",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2248","TOTAL DE ROUBO - OUTROS (1)",0,0,0,0,0,0,0,0,0,0,0,2,2,1017
"2249","ROUBO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,2,2,1017
"2250","ROUBO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2251","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2252","ROUBO DE CARGA",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2253","FURTO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2254","FURTO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,1017
"2255","HOMICÍDIO DOLOSO (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2256","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2257","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2258","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2259","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2260","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2261","TENTATIVA DE HOMICÍDIO",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2262","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2263","LESÃO CORPORAL DOLOSA",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2264","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2265","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2266","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2267","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2268","TOTAL DE ESTUPRO (4)",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2269","ESTUPRO",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2270","ESTUPRO DE VULNERÁVEL",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2271","TOTAL DE ROUBO - OUTROS (1)",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2272","ROUBO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2273","ROUBO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2274","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2275","ROUBO DE CARGA",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2276","FURTO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2277","FURTO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,984
"2278","HOMICÍDIO DOLOSO (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2279","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2280","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2281","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2282","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2283","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2284","TENTATIVA DE HOMICÍDIO",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2285","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2286","LESÃO CORPORAL DOLOSA",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2287","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2288","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2289","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2290","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2291","TOTAL DE ESTUPRO (4)",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2292","ESTUPRO",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2293","ESTUPRO DE VULNERÁVEL",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2294","TOTAL DE ROUBO - OUTROS (1)",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2295","ROUBO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2296","ROUBO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2297","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2298","ROUBO DE CARGA",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2299","FURTO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2300","FURTO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,958
"2301","HOMICÍDIO DOLOSO (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,935
"2302","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,0,0,0,0,0,0,0,0,0,0,935
"2303","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,935
"2304","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,935
"2305","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,935
"2306","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,935
"2307","TENTATIVA DE HOMICÍDIO",0,0,0,0,0,0,0,0,0,0,0,0,0,935
"2308","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,935
"2309","LESÃO CORPORAL DOLOSA",0,0,0,0,0,0,0,0,0,0,0,0,0,935
"2310","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,935
"2311","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,0,0,0,0,0,0,0,0,935
